Wall time,Step,Value
1778113857.1152115,69120000,-59.73958969116211
1778114357.0057096,69888000,-161.2459259033203
1778114809.992108,70656000,-81.2619857788086
1778115368.6794987,71424000,-74.23914337158203
1778115845.8051913,72192000,-88.52775573730469
1778116333.6373014,72960000,-186.8769989013672
1778116795.8567808,73728000,-154.0999755859375
1778117528.3086128,74496000,-162.93641662597656
1778118199.1124933,75264000,-93.7813491821289
1778118856.287533,76032000,-96.8934326171875
1778119471.9545107,76800000,-56.144840240478516
1778120003.7569156,77568000,-80.58490753173828
1778120489.9708312,78336000,-164.22232055664062
1778120996.8715498,79104000,-71.12030792236328
1778121456.4662151,79872000,-217.4783172607422
1778121910.0679734,80640000,-212.99156188964844
1778122635.4642797,81408000,-87.37039947509766
1778123316.13694,82176000,-172.14447021484375
1778124008.5622532,82944000,-177.92709350585938
1778124648.8099284,83712000,-196.45762634277344
1778125294.100426,84480000,-197.70571899414062
1778126063.5179276,85248000,-166.53189086914062
1778126719.1877925,86016000,-153.64549255371094
1778127336.9378715,86784000,-175.7914276123047
1778127919.4344225,87552000,-58.81949234008789
1778128509.8708894,88320000,-79.268798828125
1778129106.0224717,89088000,-80.93476104736328
1778129774.959404,89856000,-155.16775512695312
1778130437.4308817,90624000,-164.8494110107422
1778131024.824663,91392000,-201.61827087402344
1778131621.7917848,92160000,-171.88343811035156
1778132187.9872267,92928000,-301.3540954589844
1778132876.2097077,93696000,-253.1318817138672
1778133519.5367186,94464000,-210.19406127929688
1778134130.939305,95232000,-274.7882385253906
1778134704.36235,96000000,-179.2901153564453
1778135281.7304676,96768000,-49.50986862182617
1778136262.2434232,97536000,-238.4271240234375
1778136788.7082078,98304000,-187.705810546875
1778137370.1695938,99072000,-80.39424133300781
1778137906.9456215,99840000,-275.468505859375
1778138511.77177,100608000,-183.555419921875
1778139054.1291237,101376000,-254.54302978515625
1778139620.9221716,102144000,-138.89979553222656
1778140234.0133944,102912000,-184.0049591064453
1778140782.6329637,103680000,-274.25115966796875
1778141363.4429724,104448000,-118.49503326416016
1778141895.2983387,105216000,-233.2965087890625
1778142450.7385623,105984000,-202.65597534179688
1778143070.1409965,106752000,-184.9611358642578
1778143693.84054,107520000,-202.25015258789062
1778144257.3621237,108288000,-168.27674865722656
1778144894.6353693,109056000,-155.41619873046875
